Roll_No,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
294917,1,1,4,9885,0,0,156.3,1,4,1,1,2,143.7,1,1,1,0,1,0,29,1,1,4,7,5,15.247,0,5,7,2,6,18.521,0,13.67,7.0,3.88
399293,0,1,9,9045,0,0,124.7,1,3,4,2,2,116.6,1,1,1,0,0,0,23,1,1,2,5,6,10.0,1,4,7,3,2,12.868,1,13.8,5.41,3.53
638165,0,0,3,9554,1,1,110.0,0,0,1,2,1,113.7,0,1,0,1,0,0,18,0,3,4,2,6,12.697,1,6,4,7,3,10.524,2,14.85,8.91,3.91
470373,1,1,11,9455,1,1,178.0,1,2,1,1,0,180.1,0,0,1,0,1,1,19,0,6,3,6,3,18.925,2,6,6,5,5,15.872,1,13.05,8.27,1.01
858907,1,0,6,9891,1,1,146.9,0,3,1,0,3,152.8,0,0,1,1,0,1,28,1,7,7,3,1,16.826,0,7,5,5,3,14.539,2,13.05,5.13,4.68
959066,1,0,4,9337,1,1,139.2,1,2,2,4,0,142.4,1,1,0,1,0,1,25,0,3,1,5,5,16.201,2,4,1,3,7,10.0,1,13.36,4.24,2.95
740447,1,0,15,9868,1,1,109.9,1,3,4,3,4,102.1,1,0,1,1,0,0,21,1,3,6,5,2,10.482,2,2,1,5,2,10.579,2,7.71,1.32,1.53
246162,1,0,2,9569,0,1,179.5,1,0,4,1,0,149.6,0,0,1,0,0,1,26,0,6,2,2,1,13.946,1,3,5,2,4,15.262,2,5.46,3.07,2.11
903074,0,0,5,9313,0,1,148.4,0,2,3,4,1,140.0,0,1,1,1,0,1,22,0,7,1,5,5,10.046,2,7,3,3,6,12.664,0,8.59,0.4,4.63
446490,1,1,7,9901,1,0,167.6,1,3,4,0,1,162.2,0,1,1,1,0,1,24,1,7,2,5,4,16.427,1,7,3,5,4,18.497,1,14.33,9.03,2.35
797261,0,1,13,9809,0,0,136.2,1,3,0,0,0,134.5,0,1,1,1,1,1,28,1,2,4,4,3,11.148,2,7,1,2,1,12.665,1,7.15,2.66,1.31
119027,1,0,14,9088,0,1,142.4,0,4,3,4,1,141.1,0,1,0,1,0,0,20,0,3,6,5,3,11.788,0,7,2,7,7,14.168,1,13.99,6.26,4.88
556914,1,1,4,9434,0,0,174.4,0,1,3,1,4,145.0,1,0,0,1,0,0,18,1,2,6,4,3,15.787,0,6,1,4,1,13.48,1,13.03,5.91,2.93
637276,0,0,19,9219,0,1,142.5,0,0,3,3,3,137.5,1,1,1,0,0,0,29,1,7,1,2,1,15.652,0,4,6,2,7,14.073,1,8.69,6.5,1.61
794796,1,1,7,9630,1,0,109.3,0,0,4,4,3,117.9,0,1,1,0,0,1,26,1,3,1,6,3,10.433,2,1,6,3,5,12.844,2,13.78,9.44,1.83
133087,1,0,2,9125,0,1,124.2,0,1,1,4,4,121.1,1,1,1,1,0,0,23,1,6,3,4,6,10.644,1,7,2,3,6,14.454,2,13.6,5.51,4.6
805103,0,0,15,9388,1,0,131.2,0,3,1,1,1,126.4,0,0,0,1,0,0,26,0,4,7,1,6,14.113,1,4,2,6,5,12.471,1,5.24,5.96,2.41
351973,1,0,6,9362,0,0,157.4,1,2,0,4,0,157.2,1,0,1,1,1,1,22,1,3,4,5,5,16.26,1,3,2,4,5,14.866,2,7.72,4.33,1.01
347541,0,0,3,9452,0,0,160.7,1,2,0,0,1,149.9,1,0,0,1,1,1,27,0,6,2,3,3,13.033,2,4,1,4,3,14.05,0,13.08,0.19,4.72
192948,1,1,12,9606,0,1,136.2,0,2,1,3,3,149.5,1,0,1,0,0,1,28,0,6,1,3,1,16.154,2,3,3,7,1,15.661,1,9.36,3.62,3.61
306214,0,1,8,9361,0,0,107.3,0,2,1,3,3,134.9,0,1,1,0,0,1,25,1,2,3,4,3,13.059,1,1,3,1,6,12.798,1,12.4,1.38,3.3
603096,0,0,9,9712,1,0,120.1,0,2,2,4,0,133.3,0,1,1,0,1,1,23,0,5,6,6,2,16.308,1,7,1,5,6,12.937,0,11.63,3.66,4.99
947256,1,1,11,9949,1,1,113.2,1,0,2,0,0,124.6,0,0,1,0,0,0,24,0,6,5,6,1,10.0,1,4,6,1,7,13.789,1,12.81,6.82,1.71
220468,1,0,4,9090,1,0,108.3,1,3,4,1,1,114.6,0,0,1,0,1,1,26,0,5,5,6,1,10.0,2,7,7,2,3,12.164,1,11.61,6.38,3.92
953271,1,1,10,9408,1,0,139.2,0,0,4,0,2,126.2,0,1,0,1,1,1,23,0,5,1,4,2,13.586,2,4,6,4,5,11.48,2,8.98,7.01,2.28
277705,0,1,16,9028,1,1,142.4,1,2,2,3,4,139.9,1,0,0,1,1,0,21,1,2,2,4,5,16.168,1,2,1,3,4,18.143,1,8.97,5.62,4.68
971679,0,1,2,9752,1,0,169.6,1,0,4,3,1,157.6,1,1,1,1,1,0,28,1,3,2,1,1,14.924,0,2,1,6,1,13.835,1,8.22,9.51,1.75
560462,1,0,10,9207,1,1,118.9,0,2,4,4,1,118.7,0,0,1,1,1,0,18,0,2,7,5,2,10.0,1,6,4,4,3,13.603,1,13.74,8.14,1.74
855854,1,0,2,9032,1,1,166.0,0,2,2,3,3,174.1,1,0,1,1,0,0,24,1,5,3,6,7,19.19,2,1,6,3,7,19.131,2,9.88,9.93,3.43
371704,0,1,18,9872,1,0,118.0,1,2,3,1,0,127.8,1,0,0,1,1,0,18,0,3,6,7,6,13.684,1,1,7,6,6,13.801,1,14.03,1.05,4.86
785063,1,1,19,9197,0,1,129.0,1,1,1,4,0,126.8,1,0,1,0,0,0,21,1,5,2,2,3,12.904,0,4,1,2,4,10.985,0,13.65,7.1,1.19
626297,1,0,14,9287,1,1,144.7,1,3,1,1,3,135.8,0,0,0,1,0,1,24,1,3,1,1,4,13.087,2,1,6,7,4,13.556,2,9.89,2.48,4.64
300678,1,0,13,9513,0,0,147.2,0,0,0,4,3,148.9,0,1,1,0,1,0,21,1,5,1,7,6,16.973,0,3,7,2,6,15.014,0,8.73,8.21,1.34
911694,1,0,7,9583,0,1,166.9,1,0,4,0,3,142.2,0,0,0,1,1,1,26,0,6,7,4,7,15.05,1,2,3,4,1,14.933,0,8.75,4.35,3.69
417267,0,1,18,9961,1,0,162.3,0,0,4,1,0,143.2,1,1,1,0,1,1,22,1,4,5,2,4,14.567,2,1,7,1,6,17.956,0,11.97,6.41,3.63
657787,1,1,6,9385,0,1,124.8,1,4,0,4,3,134.0,0,1,0,1,0,1,29,0,6,4,4,4,10.909,0,3,6,5,5,11.884,2,6.5,9.91,4.7
958397,0,1,18,9969,1,0,106.6,1,4,2,4,2,114.7,1,0,0,1,1,1,21,0,7,4,7,7,13.087,2,3,2,7,3,11.032,2,14.03,1.18,1.32
475976,1,1,13,9284,0,1,111.7,0,2,2,3,3,99.3,1,0,0,1,0,1,25,0,2,3,1,6,10.0,1,3,7,3,4,11.014,2,12.79,8.37,4.52
206940,1,0,15,9857,0,0,128.6,0,1,3,4,2,139.7,0,1,1,0,0,1,24,1,5,4,3,1,14.425,2,4,4,1,6,12.7,1,9.84,3.77,1.84
200005,1,0,8,9109,1,1,172.2,0,1,4,4,4,179.7,0,1,0,1,1,1,19,0,1,7,6,5,19.049,0,7,6,3,4,17.589,0,12.5,8.14,2.15
581300,0,0,9,9314,1,1,113.6,1,3,1,4,4,126.4,1,1,0,1,1,0,28,0,1,4,6,7,10.125,0,1,7,5,2,12.837,0,11.55,4.63,2.21
760653,0,0,2,9769,1,1,122.4,0,1,0,2,1,107.6,1,0,0,1,0,0,20,0,3,6,6,4,10.636,0,3,7,5,6,10.964,2,14.51,5.51,3.43
280818,1,1,9,9610,0,1,170.2,1,1,2,1,2,157.3,1,1,1,1,1,0,19,0,1,1,3,1,17.248,0,1,2,7,1,13.95,2,5.44,0.73,4.25
952170,0,0,18,9742,1,0,108.1,0,2,2,1,0,108.6,0,1,0,1,1,1,19,1,3,1,4,1,13.821,0,2,1,4,3,10.0,1,13.02,6.52,2.49
151020,1,1,16,9477,0,1,174.0,0,3,3,1,0,171.5,0,0,0,1,1,1,25,1,7,4,2,2,17.919,0,2,6,7,3,16.35,1,9.13,8.01,4.0
819951,0,1,14,9597,0,0,151.9,1,1,0,1,0,126.5,0,0,0,1,1,0,26,0,1,6,5,6,12.466,2,4,3,3,5,11.283,0,13.55,4.31,2.31
575951,1,1,5,9410,0,1,143.6,0,4,4,1,3,159.0,1,1,1,1,0,0,26,0,3,3,1,2,15.397,1,4,4,6,7,16.573,2,6.81,5.85,4.73
656060,0,1,13,9461,0,0,117.8,1,4,2,3,2,110.6,0,0,0,1,1,0,24,0,4,3,4,2,10.242,2,5,3,3,6,11.058,0,11.13,0.78,1.51
591304,1,0,13,9626,0,0,160.5,0,1,1,1,1,154.4,1,1,1,1,1,1,23,1,6,2,6,5,15.915,1,5,6,1,5,16.577,1,8.48,3.87,1.12
473436,0,0,18,9928,0,1,170.7,1,2,3,2,2,174.6,0,1,1,0,1,0,29,0,7,5,1,5,19.107,0,4,6,5,5,16.971,2,14.83,7.12,1.43
499218,1,1,13,9089,0,0,100.9,1,4,2,3,3,99.9,0,0,1,1,1,1,20,0,5,4,6,7,10.0,2,1,7,3,2,10.0,2,5.51,9.94,1.14
300359,0,1,2,9052,0,0,103.0,1,3,4,2,1,103.0,0,0,1,0,0,1,25,1,6,2,5,4,10.0,0,7,4,1,6,10.0,1,5.04,2.02,3.75
610213,1,0,17,9002,1,0,177.9,0,1,1,0,3,168.8,1,1,0,1,0,1,25,1,1,2,2,7,16.33,1,4,6,1,6,16.935,0,12.57,7.21,5.0
935882,0,1,14,9502,0,0,149.9,0,0,2,4,3,139.0,0,0,1,1,1,0,26,0,1,7,3,7,13.765,0,6,1,6,7,15.731,1,10.15,9.3,2.94
261165,1,1,9,9366,0,1,164.0,1,4,0,0,4,150.2,0,0,0,1,1,0,23,0,5,4,3,2,13.761,2,6,4,1,5,14.32,1,5.16,8.43,4.85
553371,1,1,5,9745,1,0,144.0,1,2,4,2,3,159.4,0,1,0,1,1,1,25,1,4,2,1,4,13.64,2,5,6,1,1,19.903,0,12.29,2.49,1.73
236354,1,0,16,9126,1,0,161.8,0,1,4,2,1,143.1,0,1,1,0,0,0,25,1,3,2,6,2,12.945,0,6,6,5,6,14.122,1,7.22,7.74,3.72
570773,0,0,19,9464,1,0,167.9,1,2,3,1,0,146.4,0,0,0,1,1,1,21,1,7,3,1,3,13.507,2,3,5,7,3,14.33,1,13.1,5.27,1.73
885848,0,0,8,9691,1,0,160.3,0,2,1,3,4,132.9,0,1,0,1,1,0,26,0,6,4,4,1,14.421,2,5,3,3,1,12.994,2,5.41,3.29,4.72
337116,0,1,5,9829,1,0,169.9,1,1,2,4,2,146.6,1,0,1,1,0,1,18,0,3,4,5,4,16.283,1,7,1,6,6,13.918,1,13.84,3.99,3.58
812936,0,1,1,9669,1,0,144.3,0,4,3,0,0,140.5,0,0,0,1,0,0,18,0,2,2,1,4,14.653,0,1,4,5,3,15.421,2,12.28,4.53,2.3
635777,0,0,18,9675,1,1,121.8,0,2,3,2,2,129.3,1,1,1,1,1,1,21,0,5,7,3,6,12.324,2,5,2,2,7,15.164,1,12.61,4.45,4.76
628489,0,1,17,9894,0,1,165.4,0,2,2,3,3,161.5,0,1,0,1,1,1,26,1,5,1,6,4,17.284,1,1,4,6,2,14.407,0,12.1,9.19,3.92
730788,1,1,4,9664,1,0,164.7,1,0,1,2,2,172.9,1,1,1,1,1,0,27,1,7,2,3,3,17.898,1,3,2,3,6,17.532,0,11.84,3.77,3.2
847516,1,0,11,9684,0,0,139.8,0,1,1,3,0,133.5,0,0,0,1,1,1,29,0,6,1,3,4,13.908,0,2,1,2,3,11.29,1,9.13,0.19,1.29
692403,0,1,3,9674,1,0,162.7,0,0,3,2,2,134.3,0,0,1,1,0,0,29,0,5,4,5,7,13.514,0,1,5,2,7,12.951,1,9.7,6.15,1.8
777087,0,1,4,9865,1,1,148.7,0,4,1,3,3,156.8,1,1,1,1,0,1,19,0,1,7,5,3,12.259,0,6,6,3,7,14.671,0,8.71,6.68,4.34
760002,1,1,16,9572,0,0,116.7,0,4,4,2,3,135.2,0,0,1,1,1,1,20,1,7,5,6,3,12.342,0,7,5,7,6,13.548,0,13.33,4.64,2.13
146582,0,0,4,9836,1,0,147.1,1,4,4,4,1,129.4,1,1,0,1,0,1,24,0,2,1,7,2,11.896,0,2,3,1,2,12.464,2,11.79,8.47,2.89
633871,1,0,15,9711,1,1,157.8,1,0,0,2,0,135.9,0,1,1,1,1,1,28,0,5,5,7,2,10.983,2,5,5,5,7,11.24,1,14.07,3.18,3.74
739864,0,0,13,9536,1,1,144.5,0,3,1,0,1,159.6,0,0,0,1,1,1,25,0,4,7,7,4,16.052,2,2,6,1,1,16.327,1,6.38,4.58,4.17
331639,1,0,15,9656,1,0,157.2,1,0,3,1,3,151.9,1,1,1,0,1,0,18,1,2,2,4,7,17.514,0,4,2,1,3,15.267,2,13.43,4.26,2.37
614511,0,0,10,9317,1,1,147.2,1,4,4,3,2,157.9,1,0,1,0,1,1,22,1,7,6,6,4,15.765,2,5,4,3,6,15.71,2,12.63,7.77,1.04
280808,0,1,4,9471,1,1,147.7,0,3,4,4,2,140.5,0,0,1,1,1,0,23,0,2,2,4,5,14.317,1,4,4,4,4,12.386,2,13.13,7.97,1.25
690474,0,1,15,9264,1,1,113.6,0,1,2,3,0,117.2,0,0,1,1,0,0,22,1,1,6,4,7,11.864,1,7,4,7,5,13.639,2,7.73,6.47,3.97
315918,1,0,14,9609,0,0,123.6,1,4,0,3,3,133.9,0,0,0,1,1,1,27,1,2,2,3,2,15.997,1,4,3,2,7,11.076,2,14.56,2.15,4.47
432782,1,0,18,9956,0,1,163.7,1,3,2,0,0,134.8,0,1,0,1,1,0,22,0,4,1,5,5,12.537,0,3,2,4,1,13.506,0,12.67,4.66,1.33
162331,1,0,12,9190,0,0,172.7,1,1,0,4,0,164.1,0,0,1,1,0,0,18,1,5,4,2,4,15.922,1,3,4,6,2,16.594,1,8.05,2.23,2.8
186874,0,0,9,9013,1,1,174.2,1,1,1,3,3,181.4,0,0,0,1,1,1,24,0,6,2,4,7,16.982,1,2,1,6,3,18.664,0,12.3,2.69,1.36
605173,1,1,2,9675,0,1,171.9,0,0,2,3,1,167.1,0,0,1,1,1,1,26,1,6,5,4,5,15.757,1,1,1,4,4,17.737,0,12.45,8.27,3.52
691702,1,1,2,9641,0,1,153.4,1,3,1,0,2,136.5,0,1,1,1,1,0,24,1,2,4,7,6,15.919,1,4,2,5,2,14.117,1,8.46,5.42,3.52
557598,0,1,2,9197,0,1,117.0,1,2,0,0,0,131.7,1,1,1,1,1,1,19,0,3,3,3,1,12.763,1,2,3,6,7,11.934,1,5.44,4.95,3.82
670877,0,0,13,9031,0,1,150.9,1,2,2,0,3,140.5,1,0,0,1,0,1,27,0,5,4,5,6,15.477,0,1,7,7,3,12.998,1,8.8,7.77,2.05
532194,0,0,8,9095,0,0,165.8,1,2,2,3,2,157.7,1,0,0,1,1,1,20,1,2,3,1,4,14.052,2,1,6,6,1,12.762,1,5.53,1.17,2.19
906790,0,1,3,9846,1,0,126.9,1,4,1,1,3,112.5,0,0,0,1,0,0,28,1,1,2,5,3,14.401,2,5,3,1,1,11.564,0,14.67,6.13,3.88
584376,0,0,16,9108,0,1,118.1,1,3,1,4,0,131.8,0,1,1,0,0,1,18,1,5,7,7,3,15.193,2,5,6,3,3,10.632,1,7.43,4.43,1.4
902247,0,0,18,9273,1,1,153.5,0,2,3,2,0,166.1,1,0,1,0,1,0,24,1,3,4,5,4,15.587,1,5,1,7,3,15.956,2,8.51,9.14,3.43
930726,0,0,19,9678,1,1,172.2,0,2,1,0,1,148.4,1,0,1,0,0,1,25,0,2,4,3,3,12.309,1,7,6,5,5,14.875,1,8.86,9.13,4.46
